500, 8.0192261e-01
525, 8.5191235e-01
550, 9.3854798e-01
575, 9.8290195e-01
600, 9.8832090e-01
625, 9.7538444e-01
650, 9.7542786e-01
675, 9.7542786e-01
700, 9.7078516e-01
725, 9.7599187e-01
750, 9.8274601e-01
775, 9.7363087e-01
800, 9.7363087e-01
825, 9.7363087e-01
850, 9.7024865e-01
875, 9.7024865e-01
900, 9.7657751e-01
925, 9.7657751e-01
950, 9.7657751e-01
975, 9.7258543e-01
1000, 9.5905373e-01
1025, 9.5550395e-01
1050, 9.5550395e-01
1075, 9.5550395e-01
1100, 9.3117872e-01
1125, 8.2031314e-01
1150, 9.3455978e-01
1175, 1.2326803e-01
